
2024/07/24 (15:26:23) | ===> btop++ v.1.3.2
2024/07/24 (15:26:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/24 (15:26:40) | ===> btop++ v.1.3.2
2024/07/24 (15:26:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/24 (18:39:02) | ===> btop++ v.1.3.2
2024/07/24 (18:39:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/24 (18:46:41) | INFO: Logger set to INFO
2024/07/24 (18:46:42) | INFO: Logger set to DEBUG

2024/07/24 (18:50:29) | ===> btop++ v.1.3.2
2024/07/24 (18:50:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/24 (15:49:09) | ===> btop++ v.1.3.2
2024/07/24 (15:49:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/24 (16:34:54) | ===> btop++ v.1.3.2
2024/07/24 (16:34:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/24 (16:44:24) | ===> btop++ v.1.3.2
2024/07/24 (16:44:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
